YR,MAX,MIN,MEAN,sample,RANGE
" 50",26.8,22.0,24.74,12,4.8
" 51",27.2,26.3,26.83,12,0.9
" 52",30.0,26.2,27.87,12,3.8
" 53",31.0,28.5,30.2,12,2.5
" 54",29.5,28.1,28.5,12,1.4
" 55",33.4,30.2,32.15,12,3.2
" 56",34.6,32.0,33.54,12,2.6
" 57",34.8,32.2,34.0,12,2.6
" 58",33.9,30.0,31.79,12,3.9
" 59",37.0,34.4,35.63,12,2.6
" 60",37.9,34.6,36.41,12,3.3
" 61",39.0,34.6,36.66,12,4.4
" 62",40.3,38.6,39.71,12,1.7
" 63",43.2,40.6,42.15,12,2.6
" 64",46.9,43.5,44.99,12,3.4
" 65",51.5,47.5,49.47,12,4.0
" 66",55.1,52.0,53.82,12,3.1
" 67",56.9,54.1,54.98,12,2.8
" 68",59.5,56.8,58.04,12,2.7
" 69",61.3,59.9,60.75,12,1.4
" 70",59.5,57.0,58.74,12,2.5
" 71",61.4,58.6,59.56,12,2.8
" 72",68.6,62.7,65.3,12,5.9
" 73",72.0,68.7,70.62,12,3.3
" 74",70.8,65.2,69.58,12,5.6
" 75",66.1,61.3,63.48,12,4.8
" 76",72.0,66.8,69.29,12,5.2
" 77",76.3,72.4,74.93,12,3.9
" 78",82.0,75.7,79.34,12,6.3
" 79",82.6,81.5,81.98,12,1.1
" 80",81.9,76.8,79.69,12,5.1
" 81",82.6,78.9,81.0,12,3.7
" 82",79.3,74.1,76.66,12,5.2
" 83",83.4,75.5,79.52,12,7.9
" 84",87.5,85.0,86.62,12,2.5
" 85",89.0,86.9,88.04,12,2.1
" 86",90.8,88.1,89.03,12,2.7
" 87",95.9,90.2,93.17,12,5.7
" 88",99.3,95.9,97.39,12,3.4
" 89",99.8,100.0,99.13,12,-0.2
" 90",99.6,97.2,98.95,12,2.4
" 91",98.4,95.0,96.94,12,3.4
" 92",99.8,100.0,100.01,12,-0.2
" 93",105.7,102.4,103.54,12,3.3
" 47",22.3,21.4,21.72,12,0.9
" 48",23.0,22.3,22.65,12,0.7
" 49",22.2,20.7,21.37,12,1.5
