Year,MAX,MIN,sample,STDDEV,LCL,UCL,R-Bar
1,37.6,23.1,3,8.12,0.0,41.11,15.97
2,47.4,14.5,3,18.27,0.0,41.11,15.97
3,54.6,13.4,3,22.53,0.0,41.11,15.97
4,27.4,12.5,3,7.47,0.0,41.11,15.97
5,42.1,17.0,3,13.32,0.0,41.11,15.97
6,29.5,19.2,3,5.54,0.0,41.11,15.97
7,55.3,19.7,3,17.93,0.0,41.11,15.97
8,66.3,12.9,3,28.39,0.0,41.11,15.97
9,42.6,20.9,3,11.01,0.0,41.11,15.97
10,41.4,15.6,3,14.75,0.0,41.11,15.97
11,8.1,13.4,3,5.45,0.0,41.11,15.97
12,37.4,25.6,3,6.22,0.0,41.11,15.97
13,14.4,12.2,3,1.22,0.0,41.11,15.97
14,60.9,34.8,3,13.1,0.0,41.11,15.97
15,47.1,17.3,3,15.88,0.0,41.11,15.97
16,4.3,11.6,3,15.14,0.0,41.11,15.97
17,42.9,23.8,3,11.03,0.0,41.11,15.97
18,34.8,20.3,3,8.31,0.0,41.11,15.97
19,36.2,15.9,3,10.23,0.0,41.11,15.97
20,60.2,24.5,3,17.86,0.0,41.11,15.97
21,62.3,37.0,3,14.33,0.0,41.11,15.97
22,8.9,21.1,3,10.59,0.0,41.11,15.97
23,38.9,21.2,3,9.22,0.0,41.11,15.97
24,9.7,30.1,3,12.3,0.0,41.11,15.97
25,38.4,11.7,3,13.35,0.0,41.11,15.97
26,15.2,10.3,3,2.55,0.0,41.11,15.97
27,6.4,39.5,3,25.22,0.0,41.11,15.97
